,Id,URL,Price,Specs,Availability
166,1890767,https://housinganywhere.com/room/1890767/de/Berlin/m-llerstra-e,€965/Month (Bills included),Private room•11 m²•2 housemates,From 4 Mar 2023
167,1799416,https://housinganywhere.com/room/1799416/de/Berlin/forster-stra-e,€2100/Month (Bills included),Apartment•2 Bedrooms •52 m²,From 1 Apr 2023
168,1793925,https://housinganywhere.com/room/1793925/de/Berlin/reinickendorfer-stra-e,€1590/Month (Bills included),Studio•20 m²•Space for 1 person,From 18 Dec 2022
169,1694414,https://housinganywhere.com/room/1694414/de/Berlin/reinickendorfer-stra-e,€1590/Month (Bills included),Studio•22 m²•Space for 2 people,From 18 Dec 2022
170,1694419,https://housinganywhere.com/room/1694419/de/Berlin/reinickendorfer-stra-e,€1590/Month (Bills included),Studio•22 m²•Space for 2 people,From 1 Jan 2023
171,1890754,https://housinganywhere.com/room/1890754/de/Berlin/am-k-llnischen-park,€2400/Month (Bills included),Apartment•1 bedroom•54 m²,From 16 Mar 2023
172,1805760,https://housinganywhere.com/room/1805760/de/Berlin/forststra-e,€1599/Month (Bills included),Studio•42 m²•Space for 2 people,From 5 Apr 2023
173,1674203,https://housinganywhere.com/room/1674203/de/Berlin/markgrafendamm,€2700/Month (Bills included),Apartment•3 Bedrooms •73 m²,From 1 May 2023
174,1894303,https://housinganywhere.com/room/1894303/de/Berlin/goethestra-e,€890/Month (Bills included),Private room•20 m²•8 housemates,From 18 Dec 2022
175,1783158,https://housinganywhere.com/room/1783158/de/Berlin/goethestra-e,€890/Month (Bills included),Private room•20 m²•8 housemates,From 18 Dec 2022
176,1888163,https://housinganywhere.com/room/1888163/de/Berlin/klara-franke-stra-e,€1215/Month (Bills included),Private room•13 m²•1 housemate,From 21 Dec 2022
177,1895640,https://housinganywhere.com/room/1895640/de/Berlin/boxhagener-stra-e,€1065/Month (Bills included),Private room•10 m²•1 housemate,From 19 Jan 2023
178,1869397,https://housinganywhere.com/room/1869397/de/Berlin/archibaldweg,€955/Month (Bills included),Private room•10 m²•1 housemate,From 19 Jan 2023
179,1889439,https://housinganywhere.com/room/1889439/de/Berlin/klara-franke-stra-e,€1215/Month (Bills included),Private room•13 m²•1 housemate,From 4 Feb 2023
180,1900415,https://housinganywhere.com/room/1900415/de/Berlin/stralauer-allee,€1065/Month (Bills included),Private room•20 m²•2 housemates,From 19 Feb 2023
181,1892504,https://housinganywhere.com/room/1892504/de/Berlin/klara-franke-stra-e,€1215/Month (Bills included),Private room•13 m²•1 housemate,From 19 Feb 2023
182,1890106,https://housinganywhere.com/room/1890106/de/Berlin/klara-franke-stra-e,€1215/Month (Bills included),Private room•10 m²•1 housemate,From 19 Feb 2023
183,1393615,https://housinganywhere.com/room/1393615/de/Berlin/pettenkoferstra-e,€1850/Month (Bills included),Apartment•1 bedroom•60 m²,From 4 Jun 2023
184,1761157,https://housinganywhere.com/room/1761157/de/Berlin/buchholzer-stra-e,€1400/Month (Bills included),Studio•24 m²•Space for 2 people,From 18 Dec 2022
185,1776414,https://housinganywhere.com/room/1776414/de/Berlin/greifswalder-stra-e,From€2000/Month (Bills included),Studio•35 m²•Space for 3 people,From 27 Dec 2022
186,1645284,https://housinganywhere.com/room/1645284/de/Berlin/kottbusser-damm,€770/Month (Bills included),Private room•8 m²•3 housemates,From 1 Jan 2023
187,1645272,https://housinganywhere.com/room/1645272/de/Berlin/potsdamer-stra-e,€850/Month (Bills included),Private room•13 m²•2 housemates,From 1 Jan 2023
188,1865676,https://housinganywhere.com/room/1865676/de/Berlin/friedrichstra-e,€2750/Month (Bills included),Apartment•2 Bedrooms •75 m²,From 7 Jan 2023
189,1892187,https://housinganywhere.com/room/1892187/de/Berlin/wilhelmstra-e,€1015/Month (Bills included),Private room•12 m²•3 housemates,From 19 Jan 2023
190,1645188,https://housinganywhere.com/room/1645188/de/Berlin/mohrenstra-e,€850/Month (Bills included),Private room•19 m²•6 housemates,From 1 Feb 2023
